Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.00364184062475063,0.050122539161079824,4,"(1, 1)","""Node1""","""Node3""","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node2""","""Node4""","""Node3""","""Node4""","(0, 1, 3)",4,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00413190247461267,0.0,4,"(1, 1)","""Node1""","""Node1""","""Node4""","""Node1""","""Node3""","""Node2""","""Node2""","""Node4""","""Node3""","""Node4""","""Node3""","(0, 4, 0)",4,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00544689890917211,0.0,4,"(1, 1)","""Node4""","""Node3""","""Node4""","""Node4""","""Node2""","""Node1""","""Node3""","""Node4""","""Node1""","""Node2""","""Node1""","(1, 3, 0)",4,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00373011757143861,0.05602804506497097,5,"(1, 1)","""Node4""","""Node4""","""Node3""","""Node4""","""Node5""","""Node1""","""Node2""","""Node3""","""Node1""","""Node5""","""Node2""","(0, 0, 5)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00331658498419727,0.04977050651414755,5,"(1, 1)","""Node2""","""Node4""","""Node2""","""Node5""","""Node3""","""Node4""","""Node1""","""Node5""","""Node3""","""Node1""","""Node1""","(0, 2, 3)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00374536896104901,0.0,5,"(1, 1)","""Node4""","""Node4""","""Node3""","""Node4""","""Node2""","""Node5""","""Node1""","""Node3""","""Node5""","""Node1""","""Node1""","(1, 2, 2)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00419236660140865,0.04474922998082694,5,"(1, 1)","""Node2""","""Node4""","""Node3""","""Node2""","""Node5""","""Node4""","""Node1""","""Node3""","""Node5""","""Node3""","""Node3""","(2, 0, 3)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00390489949230775,0.0,5,"(1, 1)","""Node1""","""Node3""","""Node4""","""Node1""","""Node2""","""Node3""","""Node5""","""Node4""","""Node5""","""Node5""","""Node5""","(3, 1, 1)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00321282209184677,0.05579407791262884,6,"(1, 1)","""Node1""","""Node2""","""Node3""","""Node1""","""Node5""","""Node2""","""Node6""","""Node3""","""Node4""","""Node6""","""Node4""","(0, 0, 6)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00330870545863713,0.045836620005311225,6,"(1, 1)","""Node6""","""Node4""","""Node1""","""Node6""","""Node2""","""Node4""","""Node5""","""Node1""","""Node3""","""Node5""","""Node3""","(0, 5, 1)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00335193078456359,0.04991301558790709,6,"(1, 1)","""Node5""","""Node1""","""Node5""","""Node4""","""Node3""","""Node6""","""Node1""","""Node2""","""Node6""","""Node2""","""Node6""","(1, 2, 3)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00370039280299281,0.04749078933534067,6,"(1, 1)","""Node6""","""Node2""","""Node5""","""Node6""","""Node3""","""Node4""","""Node1""","""Node2""","""Node4""","""Node1""","""Node1""","(2, 1, 3)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00360164769205612,0.04844249921317084,6,"(1, 1)","""Node5""","""Node3""","""Node4""","""Node5""","""Node6""","""Node2""","""Node3""","""Node4""","""Node1""","""Node3""","""Node1""","(3, 0, 3)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00407687499461547,0.04527002680752977,6,"(1, 1)","""Node5""","""Node6""","""Node1""","""Node5""","""Node3""","""Node2""","""Node4""","""Node6""","""Node2""","""Node6""","""Node4""","(4, 1, 1)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
