Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.00581463450445114,0.044383366565581166,6,"(6, 6)","""Node1""","""Node1""","""Node5""","""Node1""","""Node4""","""Node2""","""Node5""","""Node2""","""Node3""","""Node6""","""Node3""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""ARMv8""",1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
0.0039002379616045,0.04266847141226221,6,"(3, 3)","""Node5""","""Node6""","""Node5""","""Node1""","""Node2""","""Node3""","""Node6""","""Node1""","""Node2""","""Node4""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""",1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(2, 2)","""Node2""","""Node6""","""Node1""","""Node2""","""Node6""","""Node5""","""Node6""","""Node3""","""Node5""","""Node4""","""Node5""","""Adreno""","""Adreno""","""ARMv8""","""ARMv8""","""MIPS""","""MIPS""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(3, 3)","""Node4""","""Node5""","""Node2""","""Node1""","""Node5""","""Node5""","""Node2""","""Node3""","""Node2""","""Node3""","""Node6""","""Adreno""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""","""MIPS""",0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.25,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(7, 8)","""Node2""","""Node1""","""Node6""","""Node2""","""Node4""","""Node1""","""Node3""","""Node4""","""Node5""","""Node3""","""Node3""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,0.5,1.0,1.0,1.0,0.5,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(7, 7)","""Node3""","""Node4""","""Node3""","""Node3""","""Node5""","""Node4""","""Node4""","""Node5""","""Node2""","""Node1""","""Node6""","""MIPS""","""Adreno""","""Adreno""","""ARMv8""","""MIPS""","""Adreno""",0.25,0.5,1.0,1.0,1.0,0.25,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 7)","""Node1""","""Node1""","""Node1""","""Node3""","""Node2""","""Node1""","""Node1""","""Node3""","""Node6""","""Node4""","""Node5""","""MIPS""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""Adreno""",1.0,1.0,1.0,0.25,0.25,0.25,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(6, 8)","""Node6""","""Node4""","""Node2""","""Node5""","""Node3""","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node3""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""","""MIPS""","""Adreno""",1.0,1.0,1.0,0.25,0.25,0.5,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(3, 3)","""Node2""","""Node1""","""Node5""","""Node2""","""Node4""","""Node1""","""Node1""","""Node5""","""Node1""","""Node6""","""Node3""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""",1.0,1.0,0.25,1.0,0.6666666666666666,0.5,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB"""
0.0046126586925270795,0.04508799668063957,6,"(7, 8)","""Node4""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node6""","""Node4""","""Node6""","""Node6""","""Node5""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""","""MIPS""",1.0,0.5,1.0,1.0,0.25,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 8)","""Node1""","""Node4""","""Node1""","""Node4""","""Node5""","""Node2""","""Node4""","""Node6""","""Node3""","""Node4""","""Node5""","""ARMv8""","""Adreno""","""ARMv8""","""MIPS""","""MIPS""","""MIPS""",0.5,1.0,1.0,1.0,1.0,0.25,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 8)","""Node1""","""Node5""","""Node5""","""Node5""","""Node4""","""Node6""","""Node5""","""Node5""","""Node3""","""Node4""","""Node2""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""MIPS""","""Adreno""",0.25,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
0.00394153003119319,0.042733712847072176,6,"(7, 8)","""Node6""","""Node2""","""Node6""","""Node6""","""Node5""","""Node1""","""Node3""","""Node4""","""Node3""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""FCFS"""
