Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
99999.0,99999.0,99999,"(6, 8)","""Node1""","""Node1""","""Node1""","""Node4""","""Node2""","""Node4""","""Node1""","""Node4""","""Node2""","""Node3""","""Node3""","(0, 2, 2)",4,"(6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00433584486004048,0.04794970113552886,4,"(6, 8)","""Node1""","""Node2""","""Node1""","""Node2""","""Node3""","""Node4""","""Node1""","""Node1""","""Node3""","""Node4""","""Node4""","(1, 1, 2)",4,"(6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00348350076682421,0.0,5,"(5, 7)","""Node1""","""Node4""","""Node1""","""Node2""","""Node5""","""Node4""","""Node5""","""Node3""","""Node5""","""Node2""","""Node3""","(2, 2, 1)",5,"(5, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00377076985558305,0.0,5,"(7, 8)","""Node3""","""Node1""","""Node3""","""Node3""","""Node4""","""Node1""","""Node5""","""Node5""","""Node4""","""Node5""","""Node2""","(2, 2, 1)",5,"(7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 7)","""Node4""","""Node4""","""Node1""","""Node2""","""Node1""","""Node4""","""Node1""","""Node5""","""Node3""","""Node2""","""Node5""","(3, 2, 0)",5,"(5, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00530874606635924,0.041411303244924126,5,"(5, 8)","""Node2""","""Node3""","""Node2""","""Node2""","""Node4""","""Node5""","""Node3""","""Node1""","""Node5""","""Node1""","""Node1""","(3, 2, 0)",5,"(5, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 7)","""Node1""","""Node2""","""Node1""","""Node1""","""Node6""","""Node2""","""Node1""","""Node5""","""Node3""","""Node4""","""Node4""","(0, 1, 5)",6,"(5, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 7)","""Node2""","""Node2""","""Node3""","""Node1""","""Node3""","""Node2""","""Node4""","""Node1""","""Node4""","""Node4""","""Node1""","(1, 2, 1)",4,"(5, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00508746658777981,0.04441486790421898,4,"(6, 7)","""Node3""","""Node3""","""Node3""","""Node1""","""Node2""","""Node3""","""Node1""","""Node1""","""Node2""","""Node4""","""Node1""","(1, 2, 1)",4,"(6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00461543785273032,0.047218106618412914,4,"(7, 8)","""Node1""","""Node2""","""Node1""","""Node1""","""Node3""","""Node2""","""Node4""","""Node4""","""Node3""","""Node4""","""Node2""","(1, 2, 1)",4,"(7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 6)","""Node2""","""Node2""","""Node4""","""Node2""","""Node5""","""Node1""","""Node3""","""Node4""","""Node5""","""Node1""","""Node1""","(4, 1, 0)",5,"(5, 6)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00483738307834178,0.039569648853998954,5,"(6, 8)","""Node3""","""Node5""","""Node3""","""Node5""","""Node2""","""Node4""","""Node5""","""Node3""","""Node2""","""Node1""","""Node1""","(4, 1, 0)",5,"(6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
