Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,Config,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.0039026823888212705,0.0,5,"(1, 1)","""Node5""","""Node5""","""Node4""","""Node5""","""Node1""","""Node3""","""Node3""","""Node4""","""Node2""","""Node3""","""Node2""",2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
0.00391194518946633,0.0,5,"(6, 8)","""Node3""","""Node2""","""Node3""","""Node2""","""Node4""","""Node5""","""Node2""","""Node4""","""Node1""","""Node5""","""Node4""",31,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.004477347621046171,0.0,6,"(1, 1)","""Node6""","""Node2""","""Node5""","""Node6""","""Node2""","""Node3""","""Node1""","""Node4""","""Node3""","""Node1""","""Node1""",24,0.6666666666666666,1.0,1.0,0.5,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(6, 8)","""Node4""","""Node5""","""Node3""","""Node4""","""Node2""","""Node5""","""Node3""","""Node1""","""Node2""","""Node1""","""Node1""",31,1.0,1.0,1.0,0.5,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(1, 1)","""Node5""","""Node2""","""Node1""","""Node5""","""Node5""","""Node2""","""Node2""","""Node1""","""Node4""","""Node1""","""Node3""",4,1.0,1.0,0.25,0.5,1.0,0.5,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB"""
0.0039326706979122,0.04099428081041378,6,"(3, 4)","""Node6""","""Node3""","""Node6""","""Node1""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node5""","""Node5""",27,1.0,1.0,0.5,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(7, 8)","""Node1""","""Node4""","""Node1""","""Node1""","""Node2""","""Node3""","""Node1""","""Node5""","""Node2""","""Node4""","""Node4""",14,1.0,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(1, 1)","""Node2""","""Node3""","""Node4""","""Node2""","""Node2""","""Node3""","""Node3""","""Node4""","""Node3""","""Node4""","""Node1""",16,0.25,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(3, 4)","""Node3""","""Node1""","""Node4""","""Node4""","""Node2""","""Node3""","""Node5""","""Node4""","""Node5""","""Node2""","""Node2""",8,0.25,1.0,1.0,0.5,1.0,0.25,"""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS"""
0.00577129649806402,0.04269781131705621,6,"(6, 8)","""Node5""","""Node1""","""Node6""","""Node5""","""Node2""","""Node1""","""Node6""","""Node2""","""Node4""","""Node3""","""Node3""",13,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS"""
0.004736517684235529,0.049134514286745166,4,"(1, 1)","""Node3""","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node2""","""Node4""","""Node2""","""Node4""","""Node4""",16,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""PB"""
0.00457172678527006,0.04569084044244357,5,"(1, 1)","""Node6""","""Node1""","""Node6""","""Node6""","""Node4""","""Node5""","""Node1""","""Node2""","""Node4""","""Node2""","""Node5""",18,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,1.0,"""PB""","""FCFS""","""PB""","""PB""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(1, 1)","""Node4""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node3""","""Node2""","""Node1""","""Node2""","""Node2""",0,1.0,1.0,1.0,0.5,1.0,0.5,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(5, 6)","""Node2""","""Node1""","""Node6""","""Node2""","""Node4""","""Node4""","""Node3""","""Node1""","""Node4""","""Node3""","""Node3""",12,0.6666666666666666,0.5,1.0,0.6666666666666666,0.25,0.25,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(1, 1)","""Node4""","""Node2""","""Node4""","""Node5""","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node1""","""Node6""",22,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.25,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(3, 4)","""Node3""","""Node3""","""Node4""","""Node1""","""Node1""","""Node3""","""Node3""","""Node2""","""Node2""","""Node2""","""Node2""",26,0.25,1.0,1.0,0.5,0.6666666666666666,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
0.004477347621046171,0.045385128256773016,5,"(3, 4)","""Node4""","""Node2""","""Node5""","""Node5""","""Node1""","""Node4""","""Node2""","""Node5""","""Node1""","""Node3""","""Node3""",25,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""PB"""
0.00577129649806402,0.04269781131705621,5,"(5, 8)","""Node3""","""Node2""","""Node3""","""Node3""","""Node5""","""Node1""","""Node2""","""Node5""","""Node4""","""Node2""","""Node5""",29,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(1, 1)","""Node3""","""Node3""","""Node2""","""Node3""","""Node4""","""Node3""","""Node4""","""Node2""","""Node4""","""Node2""","""Node2""",16,0.25,1.0,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS"""
0.0039326706979122,0.04099428081041378,5,"(6, 8)","""Node4""","""Node3""","""Node4""","""Node3""","""Node2""","""Node5""","""Node4""","""Node4""","""Node2""","""Node5""","""Node1""",31,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
